Location,Square_Feet,Lot_Size,Bedrooms,Bathrooms,Year_Built,Condition,Has_Basement,Price
Urban,4913,2221,3,4,1998,Excellent,No,461318.8
Downtown,4839,27100,4,3,1902,Poor,No,102473.15
Downtown,3760,8159,1,1,1920,Good,Yes,987797.85
Rural,2833,19753,2,4,1915,Poor,No,728931.52
Suburban,1637,34042,4,2,1942,Good,Yes,274240.08
Suburban,4243,24404,6,3,1926,Excellent,No,570303.46
Urban,1081,13732,6,4,1903,Poor,No,184524.97
Urban,3182,33982,1,2,2011,Excellent,No,846703.78
Urban,2130,44877,4,4,1963,Poor,Yes,145904.6
Rural,2162,37858,1,4,2006,Excellent,No,395024.73
Suburban,1345,48268,2,1,1992,Poor,Yes,757649.28
Urban,1165,25847,4,3,1991,Poor,Yes,269145.57
Downtown,3988,14097,3,4,1966,Good,Yes,648399.02
Suburban,1868,22950,5,1,1960,Excellent,No,607390.21
Urban,3271,43521,4,3,1951,Good,Yes,406055.52
Urban,1752,28037,5,4,1944,Excellent,No,254070.34
Suburban,1579,16773,6,2,1948,Excellent,Yes,597046.18
Suburban,2112,3428,1,2,2021,Excellent,No,864740.68
Downtown,4464,45022,4,2,1909,Good,No,272358.07
Coastal,3379,2869,3,2,1910,Good,No,384398.13
Downtown,2695,25739,2,2,2003,Good,Yes,610701.1
Urban,1609,4038,4,1,1920,Excellent,Yes,365371.68
Suburban,2516,47597,1,3,1982,Good,No,903086.74
Coastal,2786,8719,5,3,1957,Excellent,No,798969.4
Urban,4247,47474,3,2,1972,Excellent,Yes,582450.42
Rural,930,22144,4,3,1971,Good,Yes,503170.3
Downtown,1592,49143,3,2,1940,Good,No,165352.47
Suburban,4629,49571,2,4,1945,Poor,No,288363.0
Coastal,1161,10537,3,3,1913,Excellent,No,117061.18
Downtown,3411,2491,1,4,1992,Good,Yes,285669.86
Urban,968,45834,2,1,1912,Good,Yes,739065.22
Suburban,3604,26523,3,2,1966,Good,Yes,603607.5
Urban,3154,45537,6,1,2020,Poor,No,911299.03
Downtown,2037,24095,4,1,1946,Good,Yes,612989.26
Urban,4990,14563,4,1,1967,Excellent,Yes,877498.52
Downtown,4495,28042,3,1,1981,Poor,Yes,375974.95
Downtown,3575,44379,6,4,1908,Excellent,Yes,628795.27
Suburban,4065,7333,6,4,1982,Good,Yes,376169.98
Coastal,1873,25197,2,4,1945,Poor,No,304140.99
Suburban,3949,16197,3,1,1953,Poor,Yes,736313.3
Urban,4033,4393,5,2,1916,Good,No,325616.21
Rural,2515,10617,2,3,1930,Good,No,205050.43
Urban,2750,49186,5,3,1947,Poor,Yes,143574.85
Downtown,2155,45515,1,2,1949,Good,Yes,890695.56
Downtown,3171,3796,5,1,1992,Poor,Yes,248277.7
Urban,2325,26949,1,1,1967,Poor,Yes,679387.05
Suburban,3169,13266,6,4,2020,Excellent,No,750613.35
Rural,905,20579,3,1,1917,Poor,Yes,149791.91
Coastal,3978,38907,1,2,1972,Excellent,Yes,204963.22
Suburban,863,42918,6,4,1934,Excellent,Yes,225595.02
Coastal,1707,24661,5,3,1916,Poor,Yes,692810.96
Urban,1992,47541,5,1,1901,Poor,Yes,264001.95
Rural,2377,24432,5,2,1944,Poor,Yes,560956.51
Rural,4885,18083,3,4,1942,Poor,Yes,803533.76
Urban,4713,23213,1,3,1967,Poor,Yes,559267.49
Suburban,4126,5968,2,2,1979,Good,Yes,210322.71
Coastal,3305,27148,2,2,1920,Excellent,Yes,327422.16
Urban,4281,23118,1,3,2011,Good,No,419097.73
Urban,4588,7735,4,4,1939,Good,No,464697.2
Rural,2628,44825,4,3,1963,Good,Yes,549886.58
Downtown,1181,28805,1,3,1960,Excellent,Yes,764050.31
Urban,4500,26647,3,4,1980,Good,No,801021.06
Rural,2267,18645,2,4,1952,Excellent,Yes,469836.56
Suburban,3366,23150,4,1,1905,Good,No,347034.98
Coastal,3275,19982,3,3,1952,Good,No,834817.68
Urban,2556,30653,5,1,1968,Good,Yes,178271.23
Urban,2723,34198,6,4,2014,Poor,Yes,831181.45
Suburban,3282,46571,2,4,1964,Poor,No,929546.77
Rural,1240,24273,1,1,1998,Good,No,842187.38
Coastal,2653,27397,4,1,1919,Excellent,No,246251.15
Rural,2925,34644,4,1,1995,Poor,No,128348.06
Downtown,4157,44717,6,2,1900,Excellent,No,369665.21
Downtown,4004,33817,4,1,1945,Excellent,Yes,918370.6
Rural,4127,43188,1,2,1993,Good,Yes,259951.17
Suburban,2231,37419,4,4,1923,Good,No,934693.41
Downtown,1995,32698,6,2,1966,Good,Yes,304846.94
Rural,3334,24943,2,1,2000,Excellent,No,248317.31
Suburban,1695,37985,4,2,1992,Good,No,908966.71
Downtown,1081,13954,1,1,1961,Excellent,Yes,630851.03
Suburban,2924,39950,3,2,2012,Good,No,955027.29
Downtown,3673,6056,4,3,1919,Good,No,849419.05
Coastal,1663,23329,2,2,1921,Excellent,Yes,705399.95
Coastal,1163,44604,3,2,1997,Excellent,Yes,371769.0
Suburban,3547,32924,1,3,1985,Excellent,No,484136.19
Downtown,3580,20910,1,2,1984,Poor,No,282311.1
Downtown,1521,20595,2,2,1980,Excellent,Yes,539687.4
Suburban,3832,37066,1,1,1913,Good,Yes,267546.81
Downtown,3125,13764,3,2,2001,Poor,No,767540.48
Downtown,2734,20669,1,4,1915,Poor,No,556292.78
Downtown,4411,44897,3,2,1974,Poor,No,992144.64
Suburban,4151,42284,6,1,2003,Poor,Yes,551502.71
Rural,3793,24969,4,4,1953,Poor,Yes,392474.46
Urban,4321,14454,3,4,1999,Excellent,No,339770.23
Rural,1147,10657,4,2,1975,Good,No,904909.17
Urban,4559,20376,2,2,1921,Poor,No,897421.18
Coastal,2743,39307,2,4,1941,Excellent,Yes,553333.43
Coastal,2073,47170,4,2,1904,Poor,No,269910.15
Downtown,4841,10754,6,1,1948,Poor,No,633846.6
Urban,2922,48133,4,1,1919,Excellent,No,107692.93
Downtown,2955,18361,2,1,1916,Good,No,729848.1
Rural,4825,16222,6,2,1916,Good,No,929891.22
Coastal,2553,49699,5,1,1929,Good,No,916145.96
Rural,4385,7428,6,3,1919,Poor,Yes,311401.46
Urban,1080,8810,2,4,1985,Good,No,292946.19
Coastal,3136,40347,1,4,1915,Excellent,No,765929.91
Downtown,3507,40875,4,2,1974,Poor,No,855653.39
Rural,3132,30770,5,1,1931,Excellent,Yes,680749.53
Rural,4833,17698,2,2,1921,Excellent,No,326238.04
Suburban,1615,8497,3,4,1919,Excellent,No,467874.71
Coastal,1432,18289,3,4,1952,Good,Yes,469969.04
Suburban,3768,26117,2,1,1933,Excellent,No,922198.6
Downtown,3008,3641,1,4,1919,Excellent,No,511987.62
Coastal,2522,26779,6,4,1941,Good,Yes,709893.98
Urban,3179,22537,1,1,1992,Good,Yes,326802.36
Urban,4654,28927,2,2,1946,Poor,No,290735.16
Coastal,2557,21225,3,1,1936,Good,No,663943.69
Rural,4219,26342,6,1,1979,Excellent,No,942639.88
Rural,1561,35880,1,1,2015,Poor,No,320684.15
Downtown,4436,37628,5,4,1998,Good,No,281088.09
Coastal,1447,37163,2,3,1941,Poor,No,740835.87
Suburban,3005,29392,2,3,1953,Excellent,No,320425.03
Urban,4864,20521,1,4,2005,Poor,No,819024.02
Coastal,2959,31951,4,3,1978,Excellent,No,151709.16
Urban,1327,44431,5,4,1913,Poor,Yes,877570.31
Suburban,2458,31890,4,2,1926,Poor,Yes,222887.08
Urban,2067,2378,6,4,1911,Poor,Yes,806571.3
Urban,3632,40624,6,1,1937,Good,No,610815.88
Downtown,3899,21809,4,1,2002,Poor,Yes,144842.47
Rural,3487,41166,5,4,1920,Poor,Yes,174074.53
Coastal,1612,17429,5,1,1997,Good,No,845652.5
Rural,1579,2039,2,1,1981,Good,No,133625.85
Suburban,1523,40985,1,1,1970,Poor,Yes,641128.79
Rural,2132,2102,6,4,1965,Good,Yes,746279.39
Coastal,1082,2998,1,2,1977,Poor,Yes,142623.86
Urban,3699,20718,5,3,2007,Poor,No,992137.0
Rural,4409,23606,3,3,1920,Good,No,326013.85
Suburban,1502,14460,5,4,1922,Excellent,No,153772.15
Downtown,2672,12539,2,3,1980,Poor,Yes,827641.09
Urban,2333,15578,2,4,2022,Poor,No,431267.19
Downtown,1521,32086,4,4,2001,Good,Yes,979098.05
Coastal,3988,5953,1,1,1933,Excellent,No,474436.13
Downtown,2253,12590,2,4,1966,Good,No,514970.02
Downtown,1497,38747,1,1,1969,Excellent,Yes,751627.3
Rural,943,33820,6,1,1944,Excellent,No,746415.35
Downtown,1686,4028,3,4,2004,Good,Yes,122414.56
Coastal,2369,18443,5,3,1936,Good,Yes,119537.61
Rural,1364,43048,3,3,2010,Good,Yes,581058.69
Rural,1879,12601,2,2,2016,Good,No,549721.55
Rural,3030,35237,6,2,1940,Excellent,No,777636.29
Urban,4555,40087,4,3,2006,Poor,No,448227.79
Downtown,1218,43879,6,3,1938,Good,Yes,680763.2
Rural,2476,7215,4,4,1918,Good,No,265408.54
Rural,1619,4001,6,4,1906,Good,Yes,308939.61
Suburban,1310,28379,1,3,2000,Good,Yes,378477.53
Urban,2092,34731,3,1,2020,Good,Yes,928224.93
Suburban,2222,9746,4,3,2005,Excellent,Yes,750980.41
Suburban,1818,43915,6,4,2021,Good,Yes,210753.58
Coastal,3112,44478,6,3,1997,Good,No,186851.56
Coastal,814,34190,6,4,2020,Poor,No,604891.22
Rural,3619,19202,6,4,1906,Poor,No,138158.21
Rural,1561,28628,3,3,1930,Excellent,No,953347.4
Coastal,821,48414,2,2,1952,Poor,No,699432.78
Downtown,4792,48832,1,2,1991,Excellent,No,639269.77
Coastal,4266,10055,4,2,2022,Good,Yes,460692.15
Rural,3402,20741,3,2,2010,Good,No,325926.49
Urban,1231,5918,1,1,1971,Excellent,No,971078.65
Urban,3294,33653,3,3,1902,Poor,Yes,986277.32
Downtown,2044,8441,3,2,1995,Poor,No,704408.22
Rural,3250,38484,2,2,2012,Excellent,No,318522.52
Coastal,1556,25156,1,1,2018,Poor,No,646315.62
Downtown,2799,11750,2,2,1942,Good,No,534387.94
Rural,2337,49639,6,2,1921,Poor,Yes,232934.27
Suburban,2644,29443,2,4,1984,Good,No,756426.29
Urban,2424,3763,4,2,1953,Excellent,Yes,865743.15
Rural,3696,22886,3,3,2013,Poor,No,851071.44
Downtown,4729,12128,5,2,2019,Poor,Yes,295543.44
Downtown,4000,35912,3,3,1965,Good,No,157863.9
Downtown,4740,44870,4,2,2014,Excellent,No,554622.07
Urban,2334,12502,4,1,2004,Poor,Yes,457049.08
Urban,3031,38651,4,1,2014,Poor,Yes,195696.12
Suburban,1944,21983,6,3,1917,Good,No,104427.12
Coastal,2762,18967,1,4,2003,Poor,Yes,333271.64
Suburban,2415,45945,6,2,1924,Poor,Yes,556718.36
Suburban,4746,23794,3,4,1921,Good,No,404377.18
Rural,1221,11279,4,3,1962,Poor,Yes,332779.3
Downtown,1398,26809,3,3,1985,Poor,Yes,118135.92
Urban,2342,16795,3,1,1915,Good,No,364916.29
Coastal,3387,25267,3,2,1969,Excellent,No,601791.01
Suburban,3549,27812,2,3,1914,Excellent,No,179383.96
Urban,1257,31148,2,4,1995,Poor,Yes,258090.65
Coastal,3803,2271,3,3,1952,Poor,Yes,882304.59
Suburban,4227,47013,6,2,1959,Excellent,Yes,253494.48
Downtown,2301,34384,2,1,1923,Poor,No,882470.02
Rural,2532,38094,3,1,1935,Poor,No,713836.99
Downtown,1729,13927,3,2,1913,Good,Yes,236298.19
Coastal,4503,24513,4,2,1997,Good,No,230757.64
Coastal,2727,36364,4,2,1938,Excellent,No,651555.55
Coastal,1700,2673,1,3,2016,Good,Yes,568324.99
Suburban,2104,2502,6,4,2010,Good,No,799878.6
Suburban,4602,38355,5,1,1917,Good,No,318406.98
Rural,1764,47488,1,3,1998,Excellent,Yes,126739.4
Rural,2997,15090,4,1,1984,Good,Yes,727690.73
Urban,2221,14395,4,3,1904,Good,Yes,613801.23
Rural,3425,31829,2,1,1939,Good,Yes,645714.58
Suburban,4850,25911,6,4,1940,Poor,Yes,799075.92
Suburban,3122,39898,5,4,2011,Good,No,667693.02
Suburban,4410,10709,6,2,1945,Poor,No,832232.67
Rural,3987,35314,3,4,1952,Excellent,Yes,991147.58
Downtown,2621,2803,5,4,1967,Excellent,No,144639.86
Suburban,2848,35258,3,1,1929,Poor,Yes,479980.16
Coastal,2732,22702,6,4,1929,Excellent,Yes,257072.47
Downtown,1011,45463,3,2,1935,Good,Yes,347929.0
Suburban,4242,4350,5,4,2010,Good,No,711935.52
Urban,3282,10067,2,3,1994,Poor,Yes,272096.22
Downtown,988,46575,5,1,1993,Good,No,659718.55
Downtown,2355,3606,2,4,1942,Good,Yes,769247.63
Rural,4046,2432,1,4,1960,Excellent,No,539288.69
Downtown,3187,34619,3,1,1908,Good,Yes,553242.61
Rural,2468,35283,3,2,1975,Poor,Yes,614502.71
Rural,1349,2555,3,1,1946,Good,Yes,365830.69
Rural,2928,18535,6,1,1941,Good,Yes,586564.74
Downtown,4139,2971,5,1,1997,Poor,No,104049.43
Rural,4292,2083,1,2,1906,Good,Yes,615418.06
Suburban,3686,37365,5,3,1989,Good,No,831094.58
Coastal,878,43557,5,3,1954,Good,No,912523.4
Coastal,4842,19076,6,1,1927,Excellent,No,989778.06
Rural,3545,21685,1,4,1902,Good,Yes,935906.06
Coastal,1592,16906,4,2,1924,Excellent,Yes,232705.03
Downtown,2076,39968,5,2,1975,Excellent,No,419899.62
Urban,3629,8072,4,1,1991,Poor,No,731292.83
Rural,2224,10357,6,1,1971,Poor,Yes,715906.96
Urban,3719,29663,1,2,1960,Excellent,No,490356.0
Downtown,3563,19457,1,4,1994,Excellent,No,131995.82
Suburban,2711,16098,2,1,1918,Good,No,677129.23
Coastal,2075,3867,6,2,1937,Excellent,Yes,901497.69
Downtown,3479,19375,5,1,1943,Good,No,115216.12
Urban,1004,24042,3,1,1919,Excellent,Yes,447844.89
Urban,4098,47414,5,3,1903,Excellent,No,788426.45
Coastal,1646,31513,2,3,1967,Good,No,132382.49
Rural,3575,34543,2,1,1942,Excellent,No,590887.41
Downtown,932,6318,1,3,2003,Excellent,No,777692.19
Downtown,3397,45838,1,1,1922,Good,Yes,743650.38
Suburban,1459,15305,2,2,1972,Poor,Yes,624123.2
Coastal,4494,8187,3,2,1939,Excellent,Yes,536855.41
Suburban,1370,10437,4,2,2020,Excellent,No,737865.51
Coastal,3131,11033,4,3,1958,Good,Yes,308105.34
Suburban,802,30477,4,3,1971,Excellent,No,790609.16
Rural,1376,44718,3,4,1963,Poor,Yes,355320.32
Urban,825,33182,4,3,1934,Good,No,907715.3
Coastal,2411,12180,5,2,1919,Excellent,Yes,574429.08
Coastal,2462,12393,2,2,1953,Good,No,266489.56
Downtown,3313,44481,6,3,1940,Good,Yes,936386.27
Suburban,1095,34194,4,1,2012,Good,No,143328.79
Coastal,3449,41817,3,1,2020,Good,Yes,444819.49
Downtown,4454,41386,4,1,1941,Excellent,Yes,666703.95
Downtown,3378,5254,6,3,1977,Excellent,Yes,774832.46
Rural,4739,32982,6,2,2023,Excellent,No,173022.66
Urban,1437,30820,1,4,1938,Poor,No,934444.86
Rural,3498,23561,4,4,2005,Poor,Yes,723930.35
Suburban,1120,2271,6,3,1950,Excellent,No,343900.04
Suburban,4212,23768,6,4,1964,Excellent,No,724620.73
Downtown,1192,16788,2,4,1990,Excellent,Yes,942616.56
Rural,3391,3334,5,2,1981,Poor,No,216633.0
Downtown,1337,14074,4,4,1987,Good,Yes,861561.33
Downtown,2428,2638,4,2,1902,Excellent,No,354428.94
Rural,4703,9932,2,2,1917,Excellent,No,630235.6
Rural,3998,36606,4,3,1918,Poor,No,222015.08
Downtown,1106,49547,1,2,1931,Excellent,No,537606.31
Rural,2733,29903,3,3,1932,Good,Yes,111565.36
Urban,3282,13354,6,4,2012,Poor,No,541674.48
Suburban,1079,8903,4,3,2019,Excellent,Yes,468210.7
Coastal,4087,16819,1,4,2002,Poor,Yes,860551.12
Rural,1772,23944,5,2,1998,Good,No,924707.58
Rural,3248,46654,2,3,2021,Excellent,Yes,317141.64
Rural,4795,40727,4,1,1974,Good,No,397215.0
Rural,4526,48849,3,1,1917,Good,Yes,409239.79
Urban,2450,16252,2,3,1994,Excellent,Yes,104799.05
Suburban,1966,16147,2,1,1942,Good,Yes,798337.47
Urban,2860,41148,3,4,1936,Good,Yes,913568.08
Rural,3802,12737,4,4,1938,Poor,Yes,219426.37
Downtown,1833,14884,4,2,2014,Excellent,No,679141.41
Rural,1486,24459,3,2,1993,Good,No,991934.64
Suburban,2233,32564,5,2,1909,Good,Yes,784399.61
Downtown,852,10061,1,4,2010,Good,No,848677.44
Downtown,2914,25366,1,2,1933,Excellent,No,712416.93
Suburban,2919,6319,6,1,1908,Good,No,253314.84
Downtown,1938,4631,6,4,1988,Poor,Yes,619280.62
Urban,805,46952,4,3,1929,Excellent,Yes,198584.41
Coastal,4986,40484,1,1,1936,Excellent,No,995672.85
Urban,3483,21980,5,4,2006,Good,Yes,139056.13
Rural,3562,48646,5,1,2007,Good,No,738089.42
Rural,2075,13976,2,4,1919,Excellent,Yes,112111.29
Urban,2105,46569,2,3,1946,Good,Yes,297830.92
Coastal,4825,15652,4,2,1953,Poor,Yes,869508.17
Downtown,1706,18123,3,1,2010,Excellent,Yes,572179.36
Coastal,4086,29817,6,1,1919,Excellent,No,165273.13
Suburban,4471,49267,5,1,1951,Poor,No,404356.93
Rural,4289,48402,5,2,1968,Good,No,339475.08
Coastal,1025,41743,2,1,1983,Good,No,401241.71
Coastal,4934,3263,5,3,1988,Poor,Yes,326293.37
Coastal,2574,21696,1,2,1918,Poor,No,493115.96
Rural,810,30837,2,3,2002,Good,No,707106.49
Downtown,3997,42776,6,4,2000,Poor,Yes,959710.66
Suburban,4547,32008,5,1,2014,Good,No,151653.34
Urban,4182,21863,1,4,1929,Poor,No,478537.0
Urban,3336,37710,6,4,1917,Excellent,Yes,853388.97
Suburban,4828,23096,4,2,1955,Excellent,No,132435.28
Coastal,2169,41960,6,4,1958,Good,Yes,242569.93
Rural,3556,6337,6,3,2005,Poor,Yes,964479.03
Downtown,972,30766,3,3,2022,Excellent,Yes,658958.18
Suburban,4498,48531,6,2,1977,Excellent,Yes,409946.14
Rural,4671,18713,6,4,1992,Excellent,No,120895.17
Urban,2461,17239,5,2,1925,Poor,Yes,552237.29
Rural,3286,4213,2,3,1926,Good,No,293679.15
Rural,1988,6617,6,2,1959,Excellent,Yes,221489.85
Suburban,1655,2624,3,1,1977,Excellent,Yes,691361.0
Suburban,3596,22168,1,3,1919,Poor,Yes,496517.9
Suburban,2455,22830,1,1,1994,Good,No,326241.28
Downtown,4989,10071,4,4,1964,Poor,No,860463.25
Suburban,4704,23879,1,3,1976,Excellent,No,232682.53
Suburban,4570,44334,1,1,1950,Good,Yes,854323.75
Rural,4780,49890,5,4,1900,Excellent,No,225653.47
Urban,4223,10137,3,3,1963,Excellent,No,889698.03
Coastal,1650,11879,1,3,1919,Good,No,989680.55
Urban,4915,48260,6,1,1996,Good,No,772568.25
Urban,4298,16367,4,3,1931,Poor,No,929105.28
Rural,2964,35811,4,2,1949,Poor,No,181316.15
Coastal,3656,30799,2,1,1912,Excellent,Yes,700040.54
Urban,4070,16268,4,1,1914,Excellent,Yes,924388.39
Suburban,2526,7789,5,1,1932,Excellent,Yes,120706.28
Rural,4518,18396,5,4,2008,Poor,Yes,400275.29
Downtown,4403,47893,2,3,1997,Excellent,No,260716.07
Coastal,4557,43338,5,1,1916,Poor,Yes,569003.82
Coastal,3518,19286,6,1,1949,Excellent,No,192477.48
Downtown,3701,5541,5,3,1901,Poor,No,521143.53
Urban,2839,13434,6,1,1981,Excellent,Yes,856493.96
Coastal,4061,29965,1,4,1972,Excellent,Yes,204937.58
Rural,4521,22583,3,1,1977,Poor,No,387834.18
Urban,2654,48485,3,2,1944,Good,Yes,623186.32
Suburban,2819,23490,4,1,1994,Good,Yes,188278.99
Rural,2846,7774,2,3,1930,Excellent,No,272977.45
Suburban,4264,30462,4,2,1957,Poor,Yes,413261.05
Downtown,4610,40445,5,2,2012,Poor,Yes,373825.9
Downtown,2173,9747,5,4,1970,Excellent,No,386922.31
Rural,3842,24590,3,4,1930,Excellent,Yes,696765.49
Coastal,2655,47634,6,4,2010,Excellent,Yes,615951.65
Suburban,4894,21077,5,1,1961,Poor,No,664696.01
Rural,4667,32629,5,2,1913,Excellent,No,727685.12
Downtown,3055,42173,1,2,1959,Excellent,Yes,598581.87
Urban,3103,14964,6,4,1903,Excellent,Yes,899748.13
Urban,3080,36301,4,2,1908,Poor,No,950932.23
Coastal,4166,43300,1,1,2001,Poor,No,124498.36
Coastal,2914,44539,2,1,1963,Poor,No,315862.76
Rural,1839,40124,2,3,1982,Excellent,No,320677.24
Rural,4550,13791,6,2,1989,Good,Yes,493203.34
Coastal,4456,11704,1,4,1960,Poor,No,241964.85
Rural,3646,29150,2,3,2004,Good,Yes,251061.82
Coastal,4788,31843,1,3,1922,Excellent,Yes,967175.61
Downtown,1980,6897,2,2,1964,Good,Yes,101887.46
Downtown,3458,26988,3,4,1901,Excellent,Yes,435107.62
Downtown,2829,9158,4,2,2020,Good,No,325741.54
Coastal,4979,41237,5,1,1941,Good,Yes,104174.05
Suburban,4737,26857,2,4,2007,Good,Yes,356369.51
Urban,3102,4070,5,4,1955,Poor,Yes,218893.08
Downtown,4327,44372,3,2,1975,Good,No,613451.04
Urban,985,10392,2,2,2011,Poor,No,345094.39
Urban,3265,11396,4,3,1913,Excellent,Yes,331034.97
Suburban,3075,23206,5,3,2003,Good,No,788340.08
Urban,2061,16465,1,2,1924,Good,Yes,676152.73
Downtown,2701,41312,6,1,2018,Excellent,No,464370.78
Urban,1953,49466,6,2,1928,Good,No,713004.49
Urban,2479,44219,1,1,1990,Good,Yes,345094.43
Downtown,4078,36017,6,1,1990,Excellent,Yes,835917.46
Rural,1005,36217,3,2,1926,Good,Yes,178037.72
Urban,1076,37587,2,4,1912,Excellent,Yes,537415.56
Urban,866,21672,1,2,1999,Good,Yes,767011.38
Coastal,1155,45765,5,2,1987,Good,Yes,391613.49
Urban,4781,42467,4,1,1945,Good,No,236088.35
Downtown,1576,22794,2,2,1922,Poor,No,832197.27
Downtown,1950,5307,4,1,1919,Excellent,Yes,508272.13
Coastal,1132,21712,3,3,2011,Poor,Yes,931427.4
Suburban,1663,7437,3,1,1921,Excellent,Yes,873878.3
Coastal,4907,36463,2,1,2005,Good,Yes,823244.17
Rural,3269,33386,1,3,2013,Poor,Yes,595112.39
Coastal,3791,23948,3,3,2021,Poor,No,260102.9
Urban,2444,21776,3,3,1927,Poor,Yes,367729.66
Suburban,4334,4567,5,4,1953,Poor,Yes,743021.98
Rural,2886,46771,6,4,1982,Excellent,No,112305.09
Suburban,4442,12996,3,2,1912,Poor,Yes,454434.12
Urban,4776,24610,5,2,2008,Excellent,No,791495.75
Rural,1527,39675,3,1,1926,Poor,Yes,571220.54
Urban,3201,40681,5,1,1990,Poor,Yes,360327.8
Suburban,4650,2151,5,4,2012,Poor,Yes,177791.26
Urban,1591,28604,4,2,2015,Excellent,No,967890.71
Coastal,2873,2214,6,4,1981,Poor,Yes,503953.76
Rural,3023,34294,5,4,1980,Poor,Yes,174464.16
Suburban,859,35366,5,3,1973,Poor,No,435522.1
Coastal,4193,14602,2,1,1910,Excellent,Yes,569068.61
Coastal,3606,33965,6,3,1973,Poor,No,688888.62
Rural,4781,28278,5,1,1912,Good,No,959284.46
Coastal,2710,9150,5,1,1985,Excellent,Yes,251922.28
Suburban,2968,8702,2,2,1967,Excellent,No,876882.33
Rural,4355,34111,2,1,1900,Poor,Yes,429508.3
Downtown,4847,42806,6,2,1934,Poor,Yes,726599.55
Coastal,4855,45303,4,3,1977,Excellent,Yes,968589.04
Downtown,3570,7350,5,3,2012,Good,Yes,610490.89
Suburban,4045,22546,2,3,1949,Poor,No,617233.18
Downtown,3104,27056,2,4,1990,Poor,Yes,712904.29
Downtown,2816,30565,2,4,1955,Good,Yes,595110.18
Downtown,4628,47996,3,3,1902,Poor,Yes,125370.87
Urban,1897,33191,3,4,1920,Good,No,144624.96
Coastal,3954,23244,2,1,2002,Good,No,379420.02
Downtown,1756,7583,5,4,1962,Excellent,No,333823.11
Rural,4245,43757,6,1,1963,Excellent,Yes,816862.4
Suburban,2646,27629,3,2,1930,Excellent,Yes,748536.83
Urban,3100,40726,3,3,1913,Excellent,Yes,227417.96
Rural,3062,31866,6,2,2011,Poor,Yes,460290.27
Downtown,1939,29120,3,1,1943,Excellent,Yes,589352.43
Suburban,2303,27285,1,1,1941,Excellent,No,293536.18
Rural,2053,17761,4,3,1964,Good,No,178108.75
Suburban,975,44998,2,3,1942,Good,Yes,513318.26
Urban,3478,45810,4,3,1904,Poor,Yes,258463.8
Rural,4628,42733,3,1,1905,Good,Yes,608938.36
Coastal,4267,13008,2,3,1920,Poor,Yes,857576.84
Coastal,4310,32535,2,3,2010,Good,Yes,354821.48
Rural,3082,30145,4,1,1969,Excellent,Yes,204508.82
Coastal,1572,37550,1,2,1924,Excellent,No,545874.99
Suburban,903,8226,6,1,1910,Good,Yes,443392.08
Coastal,1871,28216,1,2,1934,Good,Yes,839005.26
Coastal,4675,42120,2,4,2000,Poor,Yes,793968.84
Urban,2500,43875,2,3,1920,Poor,Yes,143871.39
Coastal,1595,7255,3,4,2022,Excellent,No,610152.21
Downtown,2543,24205,3,1,1926,Poor,Yes,294878.41
Suburban,3402,17815,5,4,2011,Excellent,No,832944.29
Downtown,3167,23136,1,3,2009,Poor,Yes,853625.9
Downtown,838,9856,6,2,1954,Good,Yes,985890.58
Coastal,3305,40199,1,1,2014,Poor,No,941385.9
Downtown,3337,33105,5,1,1954,Poor,No,623043.4
Coastal,3771,21334,5,3,2006,Poor,Yes,656206.58
Rural,3345,9522,5,1,1928,Good,Yes,245187.32
Rural,3685,25111,4,4,1982,Good,No,855295.29
Urban,3987,45615,5,3,1986,Poor,Yes,683070.7
Urban,4542,12970,1,2,2017,Poor,Yes,469102.5
Suburban,1845,20642,6,2,1955,Poor,No,750786.19
Rural,1760,10462,3,4,1996,Excellent,No,773944.39
Suburban,1104,26364,6,2,1951,Poor,No,806391.75
Coastal,3064,7230,5,2,1913,Poor,Yes,827972.56
Urban,2830,10584,5,2,2007,Good,Yes,283596.52
Rural,3901,31560,3,4,1960,Poor,Yes,225222.6
Downtown,1136,40863,5,2,1981,Excellent,Yes,556233.53
Urban,4773,49814,2,2,1979,Excellent,Yes,157801.05
Suburban,4825,3697,3,2,1979,Excellent,Yes,497894.57
Rural,4622,35366,4,1,1966,Poor,No,749587.37
Coastal,4353,42030,6,2,1980,Excellent,No,180891.16
Coastal,2292,29631,3,1,1981,Good,No,469231.58
Urban,2821,19655,6,1,1951,Poor,Yes,598266.44
Downtown,4562,47900,1,4,2015,Poor,Yes,621909.74
Rural,1254,19254,4,1,1973,Excellent,Yes,340609.99
Urban,2397,34797,2,4,1949,Good,No,668624.71
Urban,3671,18358,1,4,1953,Excellent,Yes,860527.79
Downtown,2799,45951,6,1,2019,Poor,Yes,675307.66
Rural,1290,6225,4,4,1971,Excellent,No,422411.37
Downtown,2982,32902,5,2,1915,Excellent,No,173383.1
Urban,1963,44065,4,1,1911,Excellent,No,186406.19
Suburban,3509,7324,1,4,1936,Excellent,No,492905.31
Suburban,4112,18011,4,1,1922,Excellent,No,123406.78
Rural,3425,17680,4,3,1975,Good,Yes,555896.23
Downtown,2961,17980,6,4,1986,Excellent,Yes,332208.62
Urban,1718,27459,4,2,1972,Good,Yes,218321.24
Rural,2042,18368,1,1,2022,Excellent,No,641364.34
Downtown,1150,23260,3,2,1985,Excellent,Yes,343687.95
